Team_Size,Offshore_Ratio,Microservice_Deps,Helm_Template_Lines,Repo_Code_Churn,IDP_API_Calls,GitOps_Auto_Sync,Manual_Kubectl_Count,Deployment_Cycle_Time
4,0.803,4,134.0,148.0,26.0,0,14.0,53.25
8,0.372,14,799.0,314.0,0.0,0,26.0,94.59
6,0.341,10,675.0,348.0,55.0,1,14.0,54.1
3,0.387,10,477.0,136.0,35.0,0,20.0,80.96
13,0.189,9,492.0,275.0,71.0,1,10.0,43.41
8,0.153,1,122.0,5.0,76.0,1,0.0,7.15
12,0.222,9,513.0,380.0,26.0,1,12.0,57.74
7,0.46,4,,158.0,27.0,0,19.0,75.75
13,0.178,13,778.0,279.0,26.0,0,23.0,88.76
11,0.436,6,278.0,267.0,20.0,0,22.0,75.77
9,0.175,1,81.0,35.0,54.0,0,8.0,33.62
8,0.283,12,482.0,332.0,,0,16.0,65.99
9,0.252,4,193.0,290.0,27.0,0,17.0,62.07
6,0.844,12,,290.0,43.0,0,18.0,75.2
7,,9,658.0,274.0,26.0,0,13.0,63.83
11,0.143,7,,174.0,48.0,0,11.0,57.62
7,0.26,11,656.0,176.0,30.0,1,16.0,61.33
8,0.441,7,405.0,263.0,58.0,1,4.0,46.44
10,0.636,1,23.0,62.0,37.0,1,5.0,32.18
10,0.593,1,20.0,,51.0,1,0.0,18.75
5,0.367,16,974.0,475.0,40.0,0,23.0,98.32
3,0.254,21,1261.0,582.0,46.0,0,19.0,99.39
3,,5,329.0,214.0,81.0,1,9.0,31.47
15,0.699,14,909.0,549.0,70.0,1,18.0,73.22
13,0.21,4,200.0,151.0,70.0,0,12.0,53.35
10,,1,161.0,91.0,50.0,1,6.0,27.77
9,0.431,1,20.0,65.0,,0,30.0,81.43
3,0.408,3,291.0,82.0,34.0,1,14.0,41.92
8,0.699,14,803.0,485.0,30.0,0,20.0,86.93
4,0.218,14,737.0,428.0,51.0,1,12.0,67.59
5,0.469,1,20.0,5.0,82.0,1,0.0,5.56
8,0.38,7,492.0,304.0,35.0,1,11.0,62.71
8,0.476,13,674.0,408.0,44.0,0,18.0,85.44
14,0.368,5,247.0,271.0,40.0,0,10.0,50.82
10,0.303,8,601.0,363.0,81.0,1,7.0,36.39
12,0.469,1,20.0,,15.0,1,17.0,61.4
4,0.244,9,542.0,257.0,33.0,0,20.0,77.76
11,0.521,13,780.0,430.0,10.0,0,20.0,91.45
10,0.215,2,69.0,132.0,34.0,1,0.0,22.16
10,0.278,5,255.0,232.0,0.0,1,15.0,56.5
4,0.701,6,357.0,192.0,0.0,0,22.0,85.43
15,0.645,2,,188.0,28.0,0,16.0,64.33
12,0.236,1,20.0,5.0,59.0,1,1.0,13.49
3,0.72,1,,5.0,40.0,0,18.0,53.72
15,0.358,2,182.0,61.0,42.0,0,10.0,53.8
8,,1,92.0,,30.0,0,15.0,55.5
9,0.638,1,69.0,320.0,36.0,0,17.0,59.88
6,0.604,1,113.0,5.0,67.0,1,0.0,10.49
4,,11,554.0,260.0,0.0,0,24.0,88.52
6,0.028,10,557.0,249.0,0.0,0,30.0,92.4
14,0.422,4,286.0,152.0,62.0,0,11.0,49.79
4,0.46,1,20.0,5.0,59.0,1,0.0,9.47
7,0.586,8,560.0,,20.0,0,19.0,73.81
7,,12,689.0,430.0,57.0,0,14.0,67.62
6,0.244,3,232.0,145.0,26.0,0,19.0,61.1
14,0.214,6,338.0,169.0,35.0,1,13.0,51.19
12,0.732,13,736.0,280.0,14.0,0,24.0,90.72
5,0.157,1,,125.0,87.0,1,0.0,8.99
12,,13,939.0,501.0,64.0,1,8.0,56.93
3,0.514,16,935.0,482.0,49.0,0,19.0,81.56
13,0.388,3,147.0,81.0,9.0,0,26.0,73.25
9,0.445,4,272.0,227.0,74.0,1,8.0,31.2
9,0.367,10,519.0,263.0,0.0,0,29.0,97.25
4,0.609,3,94.0,197.0,34.0,0,24.0,66.58
15,0.475,5,242.0,118.0,53.0,1,2.0,27.75
3,0.219,11,815.0,311.0,9.0,1,20.0,72.34
3,0.142,3,58.0,93.0,36.0,0,8.0,33.68
7,0.442,4,259.0,116.0,16.0,0,26.0,78.57
15,0.353,1,20.0,194.0,38.0,0,18.0,58.67
13,0.203,1,128.0,85.0,37.0,0,9.0,42.8
11,0.443,10,628.0,408.0,60.0,1,11.0,55.39
6,0.348,9,571.0,302.0,6.0,0,28.0,89.72
14,0.344,2,54.0,117.0,0.0,0,28.0,98.28
15,0.393,1,125.0,96.0,26.0,0,15.0,54.42
9,0.689,3,131.0,191.0,9.0,0,20.0,76.11
7,0.537,3,279.0,67.0,,0,31.0,87.08
8,0.273,9,480.0,234.0,14.0,0,19.0,70.79
6,0.492,10,773.0,401.0,12.0,0,30.0,113.85
3,0.474,3,196.0,73.0,53.0,1,4.0,25.65
14,0.231,13,695.0,460.0,64.0,0,19.0,79.78
14,0.43,9,670.0,333.0,14.0,0,26.0,90.72
6,0.589,1,20.0,5.0,32.0,0,8.0,37.12
8,0.227,10,616.0,256.0,65.0,1,8.0,46.28
6,0.423,12,602.0,444.0,80.0,0,11.0,73.07
15,0.767,14,762.0,418.0,40.0,0,16.0,85.43
6,0.172,1,20.0,61.0,0.0,0,19.0,57.98
5,0.293,20,1074.0,397.0,96.0,1,16.0,68.95
12,0.297,4,270.0,194.0,20.0,1,17.0,54.21
11,0.319,4,179.0,276.0,44.0,1,5.0,35.14
6,0.145,2,219.0,129.0,65.0,0,12.0,62.79
12,0.401,2,,29.0,32.0,0,16.0,54.28
8,0.238,3,,129.0,21.0,1,15.0,49.56
3,0.347,4,345.0,143.0,56.0,1,0.0,20.24
4,,8,481.0,122.0,12.0,0,19.0,76.45
3,0.676,7,438.0,,19.0,0,15.0,61.5
15,0.263,1,164.0,112.0,39.0,1,5.0,29.3
3,0.45,1,20.0,5.0,34.0,1,2.0,16.99
6,0.229,10,605.0,288.0,42.0,1,7.0,48.84
3,0.364,8,442.0,119.0,0.0,1,12.0,51.28
7,0.279,14,733.0,388.0,19.0,0,22.0,89.07
14,0.3,20,1157.0,554.0,51.0,1,8.0,65.57
3,0.4,1,,84.0,101.0,1,0.0,7.26
13,0.412,1,20.0,,41.0,0,12.0,50.53
3,0.035,14,,437.0,8.0,0,33.0,101.83
8,,11,548.0,151.0,53.0,0,12.0,53.54
15,0.52,12,622.0,502.0,49.0,1,11.0,58.88
10,0.481,14,826.0,435.0,18.0,0,20.0,86.44
14,0.513,2,282.0,207.0,35.0,0,13.0,54.46
13,0.16,11,426.0,265.0,47.0,1,19.0,63.87
9,0.608,1,124.0,53.0,24.0,1,11.0,45.23
9,0.302,9,513.0,279.0,60.0,1,5.0,44.44
10,0.586,5,341.0,247.0,0.0,1,21.0,68.88
4,0.426,6,379.0,125.0,76.0,0,19.0,58.86
6,0.179,1,20.0,10.0,61.0,1,0.0,17.1
4,0.154,1,20.0,52.0,44.0,1,4.0,16.7
3,0.283,8,556.0,191.0,48.0,0,11.0,50.06
5,0.246,16,1063.0,421.0,20.0,0,24.0,101.76
9,,9,461.0,224.0,49.0,0,15.0,59.76
6,0.543,6,283.0,58.0,20.0,0,20.0,75.69
4,0.721,3,174.0,127.0,31.0,1,8.0,39.38
9,0.523,1,20.0,62.0,19.0,0,18.0,59.44
4,0.641,6,364.0,86.0,63.0,0,10.0,45.04
13,0.389,8,385.0,206.0,1.0,0,28.0,89.39
11,0.155,8,513.0,254.0,78.0,1,2.0,29.33
3,0.547,4,280.0,57.0,39.0,0,11.0,44.7
7,0.516,1,186.0,67.0,0.0,0,24.0,73.33
8,0.751,1,202.0,176.0,45.0,1,10.0,38.6
6,0.709,2,20.0,37.0,16.0,0,25.0,70.82
6,0.434,1,20.0,167.0,55.0,1,5.0,26.08
10,,4,336.0,293.0,8.0,0,16.0,69.27
5,0.298,1,20.0,36.0,0.0,0,16.0,53.68
4,0.194,3,141.0,164.0,78.0,1,4.0,14.26
7,0.249,9,605.0,171.0,29.0,0,29.0,87.13
13,0.181,4,85.0,99.0,77.0,1,0.0,11.86
11,0.289,10,568.0,227.0,47.0,1,11.0,49.03
9,0.254,1,30.0,58.0,0.0,0,24.0,66.58
13,,19,1083.0,478.0,11.0,0,29.0,108.19
4,0.763,2,77.0,5.0,0.0,0,25.0,78.73
3,0.599,10,646.0,329.0,0.0,0,21.0,85.96
5,0.423,14,897.0,265.0,23.0,0,21.0,99.09
13,0.132,6,341.0,179.0,78.0,1,5.0,29.94
3,0.882,1,88.0,13.0,4.0,0,19.0,344.71
4,0.129,9,611.0,244.0,22.0,0,23.0,81.26
12,0.317,15,1021.0,416.0,0.0,0,38.0,125.88
15,0.349,6,239.0,159.0,29.0,0,10.0,58.96
6,0.012,2,128.0,123.0,82.0,1,2.0,13.75
4,0.556,2,54.0,148.0,63.0,0,16.0,48.83
11,0.632,10,530.0,352.0,21.0,0,22.0,82.44
9,0.525,5,221.0,,44.0,0,20.0,62.48
10,0.8,3,,96.0,26.0,0,21.0,69.71
15,0.128,9,527.0,271.0,23.0,1,19.0,80.4
7,0.181,2,90.0,5.0,31.0,1,7.0,27.08
3,0.238,1,20.0,46.0,104.0,1,0.0,2.0
7,0.217,2,186.0,153.0,27.0,1,4.0,26.57
8,0.467,13,926.0,336.0,84.0,1,5.0,47.85
13,0.299,6,255.0,344.0,30.0,0,13.0,64.48
7,0.556,1,20.0,40.0,14.0,0,13.0,50.23
8,0.578,7,439.0,209.0,62.0,1,1.0,26.95
9,0.131,1,147.0,9.0,49.0,0,8.0,30.55
7,0.497,6,401.0,184.0,47.0,0,13.0,61.25
